Wilayah,Tahun,Ketersediaan Lemak Nabati,Ketersediaan Lemak Hewani,Ketersediaan Lemak
Provinsi,2022,20.95,24.13,45.08
Provinsi,2022,34.49,37.52,72.01
Provinsi,2022,46.66,12.44,59.1
Provinsi,2022,15.95,60.27,76.22
Provinsi,2022,50.53,14.88,65.41
Provinsi,2022,26.02,20.41,46.43
Provinsi,2022,39.34,15.81,55.15
Provinsi,2022,50.81,7.2,58.01
Provinsi,2022,51.01,13.95,64.96
Provinsi,2022,76.46,17.29,93.75
Provinsi,2022,36.88,18.07,54.95
Provinsi,2022,23.48,48.32,71.8
Provinsi,2022,58.35,13.8,72.15
Provinsi,2022,38.88,8.97,47.85
Provinsi,2022,35.86,16.59,52.45
Provinsi,2022,45.22,22.64,67.86
Provinsi,2022,18.59,15.66,34.25
Provinsi,2022,33.65,13.77,47.42
Provinsi,2022,48.06,15.52,63.58
Provinsi,2022,57.34,17.84,75.18
Provinsi,2022,169.01,14.45,183.46
Provinsi,2022,1.71,25.69,27.4
Provinsi,2022,52.16,7.89,60.05
Provinsi,2022,104.41,23.72,128.13
Provinsi,2022,142.39,14.99,157.38
Provinsi,2022,83.01,11.9,94.91
Provinsi,2022,30.14,14.48,44.62
Provinsi,2022,32.55,14.7,47.25
Provinsi,2022,29.64,11.65,41.29
Provinsi,2022,54.06186440677966,18.21604519774011,0.0
Provinsi,2022,54.06186440677966,18.21604519774011,0.0
Provinsi,2022,54.06186440677966,18.21604519774011,0.0
Provinsi,2022,54.06186440677966,18.21604519774011,0.0
Provinsi,2023,58.08,16.2,74.28
Provinsi,2023,50.24,13.3,63.54
Provinsi,2023,61.9,16.14,78.04
Provinsi,2023,28.59,16.81,45.4
Provinsi,2023,76.14,11.48,87.62
Provinsi,2023,14.16,29.84,44.0
Provinsi,2023,37.26,17.5,54.76
Provinsi,2023,41.0,15.6,56.6
Provinsi,2023,18.37,74.48,92.85
Provinsi,2023,38.07,15.76,53.83
Provinsi,2023,29.59,54.54,84.13
Provinsi,2023,42.4,15.14,57.54
Provinsi,2023,65.9,7.39,73.29
Provinsi,2023,46.08,17.37,63.45
Provinsi,2023,76.4,17.05,93.45
Provinsi,2023,36.88,18.07,54.95
Provinsi,2023,28.19,60.68,88.87
Provinsi,2023,52.47,19.37,71.84
Provinsi,2023,38.19,6.9,45.09
Provinsi,2023,50.22,13.44,63.66
Provinsi,2023,27.63,28.07,55.7
Provinsi,2023,27.2,15.96,43.16
Provinsi,2023,34.49,22.29,56.78
Provinsi,2023,55.14,11.52,66.66
Provinsi,2023,38.73,17.74,56.47
Provinsi,2023,113.7,11.68,125.38
Provinsi,2023,102.82,14.01,116.83
Provinsi,2023,48.36,8.67,57.03
Provinsi,2023,104.63,23.55,128.18
Provinsi,2023,66.49,11.38,77.87
Provinsi,2023,72.31,11.9,84.21
Provinsi,2023,29.96,13.73,43.69
Provinsi,2023,28.59,11.7,40.29
Provinsi,2023,30.38,12.56,42.94
Provinsi,2023,54.06186440677966,18.21604519774011,0.0
Provinsi,2023,54.06186440677966,18.21604519774011,0.0
Provinsi,2023,54.06186440677966,18.21604519774011,0.0
Provinsi,2023,54.06186440677966,18.21604519774011,0.0
